datetime,datetime_nano,SSE.601939.open,SSE.601939.high,SSE.601939.low,SSE.601939.close,SSE.601939.volume,SSE.601939.open_oi,SSE.601939.close_oi
2018-01-02 00:00:00.000000000,1514822400000000000,7.69,8.0,7.64,7.79,218944300,0,0
2018-01-03 00:00:00.000000000,1514908800000000000,7.7,7.89,7.69,7.75,120573600,0,0
2018-01-04 00:00:00.000000000,1514995200000000000,7.76,7.76,7.59,7.61,145807300,0,0
2018-01-05 00:00:00.000000000,1515081600000000000,7.64,7.73,7.6,7.68,96189900,0,0
2018-01-08 00:00:00.000000000,1515340800000000000,7.7,7.73,7.56,7.59,104700800,0,0
2018-01-09 00:00:00.000000000,1515427200000000000,7.59,7.61,7.5,7.56,117651200,0,0
2018-01-10 00:00:00.000000000,1515513600000000000,7.58,7.78,7.56,7.78,127600000,0,0
2018-01-11 00:00:00.000000000,1515600000000000000,7.78,7.94,7.72,7.87,111983000,0,0
2018-01-12 00:00:00.000000000,1515686400000000000,7.89,7.95,7.85,7.89,94287100,0,0
2018-01-15 00:00:00.000000000,1515945600000000000,7.88,8.09,7.88,8.07,161248100,0,0
2018-01-16 00:00:00.000000000,1516032000000000000,8.06,8.25,7.96,8.23,208347300,0,0
2018-01-17 00:00:00.000000000,1516118400000000000,8.25,8.65,8.25,8.39,257634500,0,0
2018-01-18 00:00:00.000000000,1516204800000000000,8.45,8.99,8.45,8.98,225922900,0,0
2018-01-19 00:00:00.000000000,1516291200000000000,9.0,9.1,8.79,9.09,245084700,0,0
2018-01-22 00:00:00.000000000,1516550400000000000,8.95,9.33,8.92,9.06,263620400,0,0
2018-01-23 00:00:00.000000000,1516636800000000000,9.01,9.85,9.01,9.81,326806400,0,0
2018-01-24 00:00:00.000000000,1516723200000000000,9.73,9.88,9.57,9.67,282666500,0,0
2018-01-25 00:00:00.000000000,1516809600000000000,9.6,9.63,9.3,9.54,280140200,0,0
2018-01-26 00:00:00.000000000,1516896000000000000,9.43,9.85,9.38,9.63,388802300,0,0
2018-01-29 00:00:00.000000000,1517155200000000000,9.6,9.79,9.44,9.52,261756500,0,0
2018-01-30 00:00:00.000000000,1517241600000000000,9.49,9.57,9.33,9.38,171398800,0,0
2018-01-31 00:00:00.000000000,1517328000000000000,9.37,9.54,9.3,9.51,205588000,0,0
2018-02-01 00:00:00.000000000,1517414400000000000,9.47,9.67,9.38,9.63,265551700,0,0
2018-02-02 00:00:00.000000000,1517500800000000000,9.45,9.61,9.36,9.55,172179400,0,0
2018-02-05 00:00:00.000000000,1517760000000000000,9.43,9.82,9.4,9.79,225975300,0,0
2018-02-06 00:00:00.000000000,1517846400000000000,9.61,9.72,9.21,9.4,294827700,0,0
2018-02-07 00:00:00.000000000,1517932800000000000,9.51,9.62,8.72,8.84,326500900,0,0
2018-02-08 00:00:00.000000000,1518019200000000000,8.71,8.81,8.3,8.49,261812300,0,0
