datetime,datetime_nano,SSE.603288.open,SSE.603288.high,SSE.603288.low,SSE.603288.close,SSE.603288.volume,SSE.603288.open_oi,SSE.603288.close_oi
2018-01-02 00:00:00.000000000,1514822400000000000,53.91,54.48,52.9,53.11,2072800,0,0
2018-01-03 00:00:00.000000000,1514908800000000000,53.24,53.5,52.46,53.08,2779800,0,0
2018-01-04 00:00:00.000000000,1514995200000000000,53.37,55.5,53.11,55.44,5857000,0,0
2018-01-05 00:00:00.000000000,1515081600000000000,55.75,55.75,54.25,54.46,3705000,0,0
2018-01-08 00:00:00.000000000,1515340800000000000,53.95,54.86,53.21,53.95,2741700,0,0
2018-01-09 00:00:00.000000000,1515427200000000000,53.88,55.86,53.8,55.78,3445500,0,0
2018-01-10 00:00:00.000000000,1515513600000000000,55.6,57.2,55.02,57.16,3623700,0,0
2018-01-11 00:00:00.000000000,1515600000000000000,57.0,57.75,56.0,56.52,2167600,0,0
2018-01-12 00:00:00.000000000,1515686400000000000,56.55,57.29,55.67,57.11,1858700,0,0
2018-01-15 00:00:00.000000000,1515945600000000000,57.73,58.5,56.73,57.87,2529600,0,0
2018-01-16 00:00:00.000000000,1516032000000000000,57.87,59.83,57.23,58.44,3891000,0,0
2018-01-17 00:00:00.000000000,1516118400000000000,58.45,58.93,55.3,57.26,4453200,0,0
2018-01-18 00:00:00.000000000,1516204800000000000,56.94,57.8,56.02,56.28,2368700,0,0
2018-01-19 00:00:00.000000000,1516291200000000000,56.2,57.25,55.6,56.72,1839900,0,0
2018-01-22 00:00:00.000000000,1516550400000000000,56.52,58.38,56.21,57.32,2935200,0,0
2018-01-23 00:00:00.000000000,1516636800000000000,57.35,57.88,56.81,57.09,2660600,0,0
2018-01-24 00:00:00.000000000,1516723200000000000,56.97,57.4,55.9,55.96,2695400,0,0
2018-01-25 00:00:00.000000000,1516809600000000000,56.2,56.48,55.3,55.57,2636500,0,0
2018-01-26 00:00:00.000000000,1516896000000000000,55.6,58.19,55.6,57.49,3641500,0,0
2018-01-29 00:00:00.000000000,1517155200000000000,57.2,58.2,54.44,54.52,2931600,0,0
2018-01-30 00:00:00.000000000,1517241600000000000,54.49,54.51,53.55,53.68,1992000,0,0
2018-01-31 00:00:00.000000000,1517328000000000000,53.7,56.46,53.7,56.36,2858500,0,0
2018-02-01 00:00:00.000000000,1517414400000000000,56.36,57.2,55.01,55.7,2082300,0,0
2018-02-02 00:00:00.000000000,1517500800000000000,56.95,57.0,54.64,56.37,2131900,0,0
2018-02-05 00:00:00.000000000,1517760000000000000,56.37,56.37,53.8,55.03,1920800,0,0
2018-02-06 00:00:00.000000000,1517846400000000000,52.99,53.88,51.02,51.59,4038800,0,0
2018-02-07 00:00:00.000000000,1517932800000000000,53.2,53.2,51.3,51.47,3194900,0,0
2018-02-08 00:00:00.000000000,1518019200000000000,50.86,52.73,50.86,52.16,2398400,0,0
2018-02-09 00:00:00.000000000,1518105600000000000,50.67,52.29,47.66,51.57,4311700,0,0
2018-02-12 00:00:00.000000000,1518364800000000000,51.08,54.08,51.0,53.34,2173700,0,0
2018-02-13 00:00:00.000000000,1518451200000000000,53.88,55.29,53.0,53.32,2022100,0,0
2018-02-14 00:00:00.000000000,1518537600000000000,52.74,54.25,52.74,53.86,1574400,0,0
2018-02-22 00:00:00.000000000,1519228800000000000,54.87,56.1,53.89,56.02,2619200,0,0
2018-02-23 00:00:00.000000000,1519315200000000000,56.12,57.0,55.05,55.33,2532800,0,0
2018-02-26 00:00:00.000000000,1519574400000000000,55.58,56.4,55.05,55.29,2387600,0,0
2018-02-27 00:00:00.000000000,1519660800000000000,55.51,55.68,53.89,55.0,2001900,0,0
2018-02-28 00:00:00.000000000,1519747200000000000,54.31,56.36,54.31,55.3,2455900,0,0
2018-03-01 00:00:00.000000000,1519833600000000000,54.2,55.78,54.2,55.29,1251800,0,0
2018-03-02 00:00:00.000000000,1519920000000000000,55.07,57.24,54.85,55.99,2967800,0,0
2018-03-05 00:00:00.000000000,1520179200000000000,56.29,56.69,55.15,56.1,961400,0,0
2018-03-06 00:00:00.000000000,1520265600000000000,56.19,56.35,54.9,56.22,1396000,0,0
2018-03-07 00:00:00.000000000,1520352000000000000,56.12,57.5,55.5,55.55,2167400,0,0
2018-03-08 00:00:00.000000000,1520438400000000000,55.43,56.66,55.09,56.14,2087200,0,0
2018-03-09 00:00:00.000000000,1520524800000000000,56.29,59.15,56.07,58.98,4551800,0,0
2018-03-12 00:00:00.000000000,1520784000000000000,59.48,59.48,57.89,58.58,2408000,0,0
2018-03-13 00:00:00.000000000,1520870400000000000,58.48,58.5,57.62,58.02,1386300,0,0
