datetime,datetime_nano,SSE.601658.open,SSE.601658.high,SSE.601658.low,SSE.601658.close,SSE.601658.volume,SSE.601658.open_oi,SSE.601658.close_oi
2019-12-10 00:00:00.000000000,1575907200000000000,5.6,5.64,5.53,5.61,1619472900,0,0
2019-12-11 00:00:00.000000000,1575993600000000000,5.58,5.64,5.55,5.63,463386300,0,0
2019-12-12 00:00:00.000000000,1576080000000000000,5.6,5.61,5.56,5.6,224711800,0,0
2019-12-13 00:00:00.000000000,1576166400000000000,5.61,5.61,5.58,5.59,157036700,0,0
2019-12-16 00:00:00.000000000,1576425600000000000,5.59,5.59,5.56,5.58,143875000,0,0
2019-12-17 00:00:00.000000000,1576512000000000000,5.58,6.14,5.56,5.85,456119900,0,0
2019-12-18 00:00:00.000000000,1576598400000000000,5.78,5.84,5.71,5.72,220064200,0,0
2019-12-19 00:00:00.000000000,1576684800000000000,5.73,5.83,5.7,5.74,141028100,0,0
2019-12-20 00:00:00.000000000,1576771200000000000,5.75,5.84,5.72,5.75,176243100,0,0
2019-12-23 00:00:00.000000000,1577030400000000000,5.76,5.87,5.74,5.82,170998600,0,0
2019-12-24 00:00:00.000000000,1577116800000000000,5.83,5.83,5.74,5.8,131189700,0,0
2019-12-25 00:00:00.000000000,1577203200000000000,5.78,5.8,5.68,5.69,156835800,0,0
2019-12-26 00:00:00.000000000,1577289600000000000,5.68,5.69,5.63,5.69,118575700,0,0
2019-12-27 00:00:00.000000000,1577376000000000000,5.68,5.76,5.68,5.74,130905900,0,0
2019-12-30 00:00:00.000000000,1577635200000000000,5.71,5.91,5.66,5.81,178952800,0,0
2019-12-31 00:00:00.000000000,1577721600000000000,5.8,5.88,5.79,5.86,122443100,0,0
2020-01-02 00:00:00.000000000,1577894400000000000,5.9,6.02,5.9,5.93,151823800,0,0
2020-01-03 00:00:00.000000000,1577980800000000000,5.93,6.01,5.85,5.98,136428100,0,0
2020-01-06 00:00:00.000000000,1578240000000000000,5.94,5.97,5.87,5.91,88407700,0,0
2020-01-07 00:00:00.000000000,1578326400000000000,5.89,5.94,5.88,5.92,53421100,0,0
2020-01-08 00:00:00.000000000,1578412800000000000,5.88,5.89,5.81,5.85,92108300,0,0
2020-01-09 00:00:00.000000000,1578499200000000000,5.85,5.88,5.8,5.87,61659200,0,0
2020-01-10 00:00:00.000000000,1578585600000000000,5.85,5.91,5.82,5.9,69474800,0,0
2020-01-13 00:00:00.000000000,1578844800000000000,5.87,5.88,5.76,5.79,173463700,0,0
2020-01-14 00:00:00.000000000,1578931200000000000,5.79,5.79,5.75,5.76,107426700,0,0
