datetime,datetime_nano,SZSE.000917.open,SZSE.000917.high,SZSE.000917.low,SZSE.000917.close,SZSE.000917.volume,SZSE.000917.open_oi,SZSE.000917.close_oi
2018-01-02 00:00:00.000000000,1514822400000000000,9.08,9.13,8.88,9.02,16848200,0,0
2018-01-03 00:00:00.000000000,1514908800000000000,9.01,9.1,8.93,9.05,15343000,0,0
2018-01-04 00:00:00.000000000,1514995200000000000,9.04,9.16,9.01,9.06,12856300,0,0
2018-01-05 00:00:00.000000000,1515081600000000000,9.05,9.06,8.9,8.97,13461800,0,0
2018-01-08 00:00:00.000000000,1515340800000000000,8.97,8.97,8.84,8.9,14364000,0,0
2018-01-09 00:00:00.000000000,1515427200000000000,8.9,8.91,8.83,8.86,9596900,0,0
2018-01-10 00:00:00.000000000,1515513600000000000,8.86,8.86,8.73,8.77,10674000,0,0
2018-01-11 00:00:00.000000000,1515600000000000000,8.76,8.91,8.71,8.89,13504600,0,0
2018-01-12 00:00:00.000000000,1515686400000000000,8.88,8.89,8.76,8.78,9406000,0,0
2018-01-15 00:00:00.000000000,1515945600000000000,8.79,8.79,8.33,8.33,19694100,0,0
2018-01-16 00:00:00.000000000,1516032000000000000,8.31,8.4,8.29,8.38,10815200,0,0
2018-01-17 00:00:00.000000000,1516118400000000000,8.37,8.53,8.3,8.45,10482200,0,0
2018-01-18 00:00:00.000000000,1516204800000000000,8.45,8.48,8.41,8.43,7533100,0,0
2018-01-19 00:00:00.000000000,1516291200000000000,8.45,8.49,8.38,8.39,9882900,0,0
2018-01-22 00:00:00.000000000,1516550400000000000,8.38,8.54,8.26,8.45,14528400,0,0
2018-01-23 00:00:00.000000000,1516636800000000000,8.49,8.52,8.43,8.49,8489500,0,0
2018-01-24 00:00:00.000000000,1516723200000000000,8.48,8.68,8.44,8.67,16523500,0,0
2018-01-25 00:00:00.000000000,1516809600000000000,8.64,8.93,8.59,8.73,22021200,0,0
2018-01-26 00:00:00.000000000,1516896000000000000,8.7,8.98,8.67,8.85,18544800,0,0
2018-01-29 00:00:00.000000000,1517155200000000000,8.85,8.85,8.62,8.64,11715800,0,0
2018-01-30 00:00:00.000000000,1517241600000000000,8.67,8.72,8.62,8.65,7758000,0,0
2018-01-31 00:00:00.000000000,1517328000000000000,8.3,8.37,7.8,7.83,34707100,0,0
