datetime,datetime_nano,SSE.600276.open,SSE.600276.high,SSE.600276.low,SSE.600276.close,SSE.600276.volume,SSE.600276.open_oi,SSE.600276.close_oi
2018-01-02 00:00:00.000000000,1514822400000000000,69.42,69.83,68.33,68.67,9392500,0,0
2018-01-03 00:00:00.000000000,1514908800000000000,68.69,70.0,68.6,68.83,12456400,0,0
2018-01-04 00:00:00.000000000,1514995200000000000,69.12,70.69,68.85,70.57,16049900,0,0
2018-01-05 00:00:00.000000000,1515081600000000000,71.55,71.77,69.88,70.32,13391300,0,0
2018-01-08 00:00:00.000000000,1515340800000000000,70.41,71.35,69.9,71.26,9794800,0,0
2018-01-09 00:00:00.000000000,1515427200000000000,71.69,75.18,71.08,74.7,21798700,0,0
2018-01-10 00:00:00.000000000,1515513600000000000,74.6,75.65,74.01,74.9,14529500,0,0
2018-01-11 00:00:00.000000000,1515600000000000000,74.6,75.18,73.77,74.27,8648700,0,0
2018-01-12 00:00:00.000000000,1515686400000000000,74.27,75.0,73.96,74.61,7216800,0,0
2018-01-15 00:00:00.000000000,1515945600000000000,74.4,76.0,73.65,74.49,14114000,0,0
2018-01-16 00:00:00.000000000,1516032000000000000,74.19,76.98,73.86,75.1,17247600,0,0
2018-01-17 00:00:00.000000000,1516118400000000000,75.59,75.6,73.31,73.54,11527700,0,0
2018-01-18 00:00:00.000000000,1516204800000000000,73.7,74.97,71.96,72.8,9976200,0,0
2018-01-19 00:00:00.000000000,1516291200000000000,72.88,74.76,72.05,74.36,11694400,0,0
2018-01-22 00:00:00.000000000,1516550400000000000,74.36,76.48,74.19,76.39,12770600,0,0
2018-01-23 00:00:00.000000000,1516636800000000000,76.3,77.97,75.51,76.69,14730800,0,0
2018-01-24 00:00:00.000000000,1516723200000000000,76.83,78.39,76.32,78.07,13922100,0,0
2018-01-25 00:00:00.000000000,1516809600000000000,78.68,78.72,75.47,76.06,15477300,0,0
2018-01-26 00:00:00.000000000,1516896000000000000,76.08,77.74,75.75,77.15,10540300,0,0
2018-01-29 00:00:00.000000000,1517155200000000000,77.51,78.0,72.9,73.24,17552400,0,0
2018-01-30 00:00:00.000000000,1517241600000000000,73.24,74.79,73.12,74.1,8650300,0,0
