datetime,datetime_nano,SSE.600809.open,SSE.600809.high,SSE.600809.low,SSE.600809.close,SSE.600809.volume,SSE.600809.open_oi,SSE.600809.close_oi
2018-01-02 00:00:00.000000000,1514822400000000000,56.51,57.15,55.8,56.34,4753500,0,0
2018-01-03 00:00:00.000000000,1514908800000000000,56.24,56.87,55.55,56.67,5900900,0,0
2018-01-04 00:00:00.000000000,1514995200000000000,56.47,59.46,56.16,58.91,13917200,0,0
2018-01-05 00:00:00.000000000,1515081600000000000,59.0,59.5,58.03,58.45,5943000,0,0
2018-01-08 00:00:00.000000000,1515340800000000000,58.5,58.82,56.45,57.36,8716100,0,0
2018-01-09 00:00:00.000000000,1515427200000000000,57.28,59.44,57.01,59.16,10419100,0,0
2018-01-10 00:00:00.000000000,1515513600000000000,58.99,59.4,57.73,59.1,7438500,0,0
2018-01-11 00:00:00.000000000,1515600000000000000,59.21,59.28,58.0,58.91,4842600,0,0
2018-01-12 00:00:00.000000000,1515686400000000000,58.91,59.73,58.01,59.3,6492300,0,0
2018-01-15 00:00:00.000000000,1515945600000000000,59.2,62.0,59.05,61.31,13457700,0,0
2018-01-16 00:00:00.000000000,1516032000000000000,61.1,66.54,60.56,63.5,12646700,0,0
2018-01-17 00:00:00.000000000,1516118400000000000,63.93,64.9,61.35,61.47,9787200,0,0
2018-01-18 00:00:00.000000000,1516204800000000000,61.93,66.4,61.76,65.16,13429600,0,0
2018-01-19 00:00:00.000000000,1516291200000000000,65.13,67.0,63.2,65.42,8545700,0,0
2018-01-22 00:00:00.000000000,1516550400000000000,65.42,65.42,65.42,65.42,0,0,0
2018-01-23 00:00:00.000000000,1516636800000000000,65.42,65.42,65.42,65.42,0,0,0
2018-01-24 00:00:00.000000000,1516723200000000000,65.42,65.42,65.42,65.42,0,0,0
2018-01-25 00:00:00.000000000,1516809600000000000,65.42,65.42,65.42,65.42,0,0,0
2018-01-26 00:00:00.000000000,1516896000000000000,65.42,65.42,65.42,65.42,0,0,0
2018-01-29 00:00:00.000000000,1517155200000000000,65.42,65.42,65.42,65.42,0,0,0
2018-01-30 00:00:00.000000000,1517241600000000000,65.42,65.42,65.42,65.42,0,0,0
2018-01-31 00:00:00.000000000,1517328000000000000,65.42,65.42,65.42,65.42,0,0,0
2018-02-01 00:00:00.000000000,1517414400000000000,65.42,65.42,65.42,65.42,0,0,0
2018-02-02 00:00:00.000000000,1517500800000000000,65.42,65.42,65.42,65.42,0,0,0
2018-02-05 00:00:00.000000000,1517760000000000000,58.88,58.88,58.88,58.88,2196500,0,0
2018-02-06 00:00:00.000000000,1517846400000000000,52.99,54.61,52.99,52.99,25451500,0,0
2018-02-07 00:00:00.000000000,1517932800000000000,53.98,55.49,51.6,52.15,15283400,0,0
2018-02-08 00:00:00.000000000,1518019200000000000,52.0,55.48,51.96,53.56,10590200,0,0
2018-02-09 00:00:00.000000000,1518105600000000000,52.47,54.62,50.03,54.35,8586600,0,0
2018-02-12 00:00:00.000000000,1518364800000000000,55.31,58.12,55.3,57.37,8067500,0,0
2018-02-13 00:00:00.000000000,1518451200000000000,58.0,59.0,56.33,58.78,6685400,0,0
2018-02-14 00:00:00.000000000,1518537600000000000,58.2,59.3,57.55,58.47,4730800,0,0
2018-02-22 00:00:00.000000000,1519228800000000000,60.0,60.0,58.15,58.91,4818700,0,0
2018-02-23 00:00:00.000000000,1519315200000000000,59.0,59.49,56.63,57.93,4308200,0,0
2018-02-26 00:00:00.000000000,1519574400000000000,57.93,58.08,55.38,56.84,8924800,0,0
