datetime,datetime_nano,SZSE.300760.open,SZSE.300760.high,SZSE.300760.low,SZSE.300760.close,SZSE.300760.volume,SZSE.300760.open_oi,SZSE.300760.close_oi
2018-10-16 00:00:00.000000000,1539619200000000000,58.56,70.27,58.56,70.27,419900,0,0
2018-10-17 00:00:00.000000000,1539705600000000000,77.3,77.3,77.3,77.3,186500,0,0
2018-10-18 00:00:00.000000000,1539792000000000000,85.03,85.03,73.51,80.97,55718500,0,0
2018-10-19 00:00:00.000000000,1539878400000000000,72.87,89.07,72.87,89.07,35319200,0,0
2018-10-22 00:00:00.000000000,1540137600000000000,95.0,97.98,93.5,97.98,17685800,0,0
2018-10-23 00:00:00.000000000,1540224000000000000,107.78,107.78,94.69,94.7,32962600,0,0
2018-10-24 00:00:00.000000000,1540310400000000000,88.18,100.5,88.18,97.05,24150000,0,0
2018-10-25 00:00:00.000000000,1540396800000000000,94.1,101.3,92.18,99.58,19315300,0,0
2018-10-26 00:00:00.000000000,1540483200000000000,100.0,102.85,92.58,97.2,18272100,0,0
2018-10-29 00:00:00.000000000,1540742400000000000,97.18,98.34,94.11,97.52,10286000,0,0
2018-10-30 00:00:00.000000000,1540828800000000000,98.2,99.97,92.85,97.35,14005700,0,0
2018-10-31 00:00:00.000000000,1540915200000000000,97.0,101.91,97.0,99.0,13522700,0,0
2018-11-01 00:00:00.000000000,1541001600000000000,99.97,105.59,98.5,102.33,15664100,0,0
2018-11-02 00:00:00.000000000,1541088000000000000,104.5,107.0,102.69,105.4,16217700,0,0
2018-11-05 00:00:00.000000000,1541347200000000000,106.0,106.55,99.45,102.42,13349500,0,0
2018-11-06 00:00:00.000000000,1541433600000000000,100.5,112.66,99.85,112.66,13529700,0,0
2018-11-07 00:00:00.000000000,1541520000000000000,110.0,114.3,108.78,110.0,11559500,0,0
2018-11-08 00:00:00.000000000,1541606400000000000,109.06,112.98,107.8,109.28,9042700,0,0
2018-11-09 00:00:00.000000000,1541692800000000000,120.0,120.0,106.0,110.78,8703300,0,0
2018-11-12 00:00:00.000000000,1541952000000000000,110.0,112.7,109.01,112.01,7992300,0,0
2018-11-13 00:00:00.000000000,1542038400000000000,110.32,117.0,108.66,110.06,13639600,0,0
2018-11-14 00:00:00.000000000,1542124800000000000,110.06,113.5,108.01,111.86,8502200,0,0
2018-11-15 00:00:00.000000000,1542211200000000000,111.86,112.78,109.23,112.0,6730900,0,0
2018-11-16 00:00:00.000000000,1542297600000000000,111.38,113.97,109.7,110.65,6909200,0,0
2018-11-19 00:00:00.000000000,1542556800000000000,110.01,112.85,108.64,110.15,6928100,0,0
2018-11-20 00:00:00.000000000,1542643200000000000,110.15,111.01,107.0,107.0,5462500,0,0
2018-11-21 00:00:00.000000000,1542729600000000000,107.0,113.0,105.81,111.7,9062300,0,0
2018-11-22 00:00:00.000000000,1542816000000000000,111.7,112.33,110.13,111.51,5197300,0,0
2018-11-23 00:00:00.000000000,1542902400000000000,111.0,113.6,108.01,108.3,5950900,0,0
2018-11-26 00:00:00.000000000,1543161600000000000,107.31,111.27,107.31,109.59,4179300,0,0
2018-11-27 00:00:00.000000000,1543248000000000000,109.0,111.0,104.5,106.56,8021700,0,0
2018-11-28 00:00:00.000000000,1543334400000000000,106.8,110.0,105.2,109.61,5516500,0,0
2018-11-29 00:00:00.000000000,1543420800000000000,111.0,111.97,108.81,108.83,4884800,0,0
2018-11-30 00:00:00.000000000,1543507200000000000,107.9,112.59,107.13,112.5,4134700,0,0
