datetime,datetime_nano,SSE.600028.open,SSE.600028.high,SSE.600028.low,SSE.600028.close,SSE.600028.volume,SSE.600028.open_oi,SSE.600028.close_oi
2018-01-02 00:00:00.000000000,1514822400000000000,6.16,6.47,6.16,6.37,367565300,0,0
2018-01-03 00:00:00.000000000,1514908800000000000,6.36,6.52,6.35,6.47,243152500,0,0
2018-01-04 00:00:00.000000000,1514995200000000000,6.56,7.08,6.56,6.9,510094800,0,0
2018-01-05 00:00:00.000000000,1515081600000000000,6.9,7.18,6.85,7.06,426639400,0,0
2018-01-08 00:00:00.000000000,1515340800000000000,7.02,7.14,6.99,7.05,334920700,0,0
2018-01-09 00:00:00.000000000,1515427200000000000,7.07,7.11,6.93,7.0,271378700,0,0
2018-01-10 00:00:00.000000000,1515513600000000000,7.17,7.33,7.1,7.15,469437600,0,0
2018-01-11 00:00:00.000000000,1515600000000000000,7.15,7.18,7.01,7.08,163552700,0,0
2018-01-12 00:00:00.000000000,1515686400000000000,7.1,7.23,7.0,7.15,193761800,0,0
2018-01-15 00:00:00.000000000,1515945600000000000,7.2,7.43,7.13,7.29,331951200,0,0
2018-01-16 00:00:00.000000000,1516032000000000000,7.28,7.37,7.09,7.11,444459200,0,0
2018-01-17 00:00:00.000000000,1516118400000000000,7.05,7.24,6.96,7.03,425632300,0,0
2018-01-18 00:00:00.000000000,1516204800000000000,7.05,7.05,6.89,7.0,405584000,0,0
2018-01-19 00:00:00.000000000,1516291200000000000,6.99,7.11,6.94,7.04,415730700,0,0
2018-01-22 00:00:00.000000000,1516550400000000000,7.06,7.12,6.87,6.91,396091800,0,0
2018-01-23 00:00:00.000000000,1516636800000000000,6.98,7.05,6.88,7.04,613996900,0,0
2018-01-24 00:00:00.000000000,1516723200000000000,7.12,7.33,7.03,7.32,693930900,0,0
2018-01-25 00:00:00.000000000,1516809600000000000,7.42,7.49,7.23,7.25,491620500,0,0
2018-01-26 00:00:00.000000000,1516896000000000000,7.18,7.39,7.14,7.38,318579100,0,0
2018-01-29 00:00:00.000000000,1517155200000000000,7.39,7.61,7.36,7.44,449185800,0,0
2018-01-30 00:00:00.000000000,1517241600000000000,7.33,7.42,7.18,7.21,242381900,0,0
2018-01-31 00:00:00.000000000,1517328000000000000,7.13,7.15,7.03,7.08,259123700,0,0
2018-02-01 00:00:00.000000000,1517414400000000000,7.1,7.17,6.97,7.16,311483000,0,0
2018-02-02 00:00:00.000000000,1517500800000000000,7.19,7.56,7.08,7.54,440910100,0,0
2018-02-05 00:00:00.000000000,1517760000000000000,7.36,7.66,7.34,7.63,335156800,0,0
2018-02-06 00:00:00.000000000,1517846400000000000,7.41,7.53,7.23,7.41,479664100,0,0
2018-02-07 00:00:00.000000000,1517932800000000000,7.46,7.71,7.07,7.15,513901100,0,0
2018-02-08 00:00:00.000000000,1518019200000000000,6.92,6.93,6.59,6.72,432525000,0,0
