datetime,datetime_nano,SSE.603501.open,SSE.603501.high,SSE.603501.low,SSE.603501.close,SSE.603501.volume,SSE.603501.open_oi,SSE.603501.close_oi
2018-01-02 00:00:00.000000000,1514822400000000000,41.5,42.51,40.69,42.48,10205200,0,0
2018-01-03 00:00:00.000000000,1514908800000000000,42.28,43.13,40.51,41.45,10367500,0,0
2018-01-04 00:00:00.000000000,1514995200000000000,41.6,45.6,41.28,45.6,17208800,0,0
2018-01-05 00:00:00.000000000,1515081600000000000,45.97,45.97,43.76,43.9,15953200,0,0
2018-01-08 00:00:00.000000000,1515340800000000000,43.7,45.2,42.43,44.91,13128000,0,0
2018-01-09 00:00:00.000000000,1515427200000000000,44.48,44.78,42.7,43.72,9833100,0,0
2018-01-10 00:00:00.000000000,1515513600000000000,43.01,44.4,41.99,43.4,9162600,0,0
2018-01-11 00:00:00.000000000,1515600000000000000,42.0,44.45,41.9,42.93,9240400,0,0
2018-01-12 00:00:00.000000000,1515686400000000000,42.6,44.44,42.29,43.21,10355900,0,0
2018-01-15 00:00:00.000000000,1515945600000000000,41.81,42.04,38.89,39.44,12254600,0,0
2018-01-16 00:00:00.000000000,1516032000000000000,38.51,40.13,38.51,39.57,7126400,0,0
2018-01-17 00:00:00.000000000,1516118400000000000,39.5,41.86,38.21,40.78,9204700,0,0
2018-01-18 00:00:00.000000000,1516204800000000000,40.1,40.64,39.32,39.38,5930700,0,0
2018-01-19 00:00:00.000000000,1516291200000000000,39.76,39.96,38.39,38.6,5571200,0,0
2018-01-22 00:00:00.000000000,1516550400000000000,38.3,38.3,35.08,36.96,5836600,0,0
2018-01-23 00:00:00.000000000,1516636800000000000,36.99,38.1,36.99,37.81,4379600,0,0
2018-01-24 00:00:00.000000000,1516723200000000000,37.55,39.7,36.55,38.78,6823600,0,0
2018-01-25 00:00:00.000000000,1516809600000000000,38.0,39.16,37.33,37.56,5023500,0,0
2018-01-26 00:00:00.000000000,1516896000000000000,37.02,37.97,36.04,36.28,4517700,0,0
2018-01-29 00:00:00.000000000,1517155200000000000,37.0,37.08,35.48,35.9,3258100,0,0
2018-01-30 00:00:00.000000000,1517241600000000000,35.87,36.19,35.4,35.52,2557600,0,0
2018-01-31 00:00:00.000000000,1517328000000000000,34.89,35.0,32.05,32.45,5385100,0,0
2018-02-01 00:00:00.000000000,1517414400000000000,32.18,33.0,31.55,32.51,4280700,0,0
2018-02-02 00:00:00.000000000,1517500800000000000,32.0,32.57,30.52,30.68,4081800,0,0
2018-02-05 00:00:00.000000000,1517760000000000000,28.66,30.29,28.66,28.86,3890900,0,0
2018-02-06 00:00:00.000000000,1517846400000000000,27.98,28.5,26.01,26.46,5068100,0,0
2018-02-07 00:00:00.000000000,1517932800000000000,27.35,28.8,26.04,27.96,5517400,0,0
2018-02-08 00:00:00.000000000,1518019200000000000,27.88,30.76,27.5,30.76,7984200,0,0
2018-02-09 00:00:00.000000000,1518105600000000000,29.18,32.15,29.18,30.71,8552800,0,0
2018-02-12 00:00:00.000000000,1518364800000000000,30.66,32.5,30.62,31.7,6033100,0,0
2018-02-13 00:00:00.000000000,1518451200000000000,31.53,31.57,30.4,30.47,4614900,0,0
2018-02-14 00:00:00.000000000,1518537600000000000,30.17,30.99,29.72,29.75,2561500,0,0
2018-02-22 00:00:00.000000000,1519228800000000000,30.2,32.52,30.03,31.78,4323300,0,0
2018-02-23 00:00:00.000000000,1519315200000000000,31.7,32.18,30.88,31.82,4122400,0,0
2018-02-26 00:00:00.000000000,1519574400000000000,31.97,34.6,31.97,34.31,6758300,0,0
2018-02-27 00:00:00.000000000,1519660800000000000,34.0,35.45,33.6,34.5,7472200,0,0
2018-02-28 00:00:00.000000000,1519747200000000000,33.45,35.21,33.34,33.86,4462700,0,0
2018-03-01 00:00:00.000000000,1519833600000000000,33.85,35.8,33.56,34.96,5763400,0,0
2018-03-02 00:00:00.000000000,1519920000000000000,34.45,35.45,33.9,33.91,4422900,0,0
2018-03-05 00:00:00.000000000,1520179200000000000,33.94,35.63,33.94,35.47,5063700,0,0
2018-03-06 00:00:00.000000000,1520265600000000000,35.55,37.08,34.83,35.99,5705400,0,0
2018-03-07 00:00:00.000000000,1520352000000000000,35.5,37.36,35.49,36.61,4968500,0,0
2018-03-08 00:00:00.000000000,1520438400000000000,36.3,36.97,35.7,36.32,3692700,0,0
2018-03-09 00:00:00.000000000,1520524800000000000,36.35,39.8,36.1,38.46,8745800,0,0
2018-03-12 00:00:00.000000000,1520784000000000000,38.21,41.0,38.21,40.06,7037900,0,0
2018-03-13 00:00:00.000000000,1520870400000000000,39.66,40.6,39.03,39.31,4462600,0,0
2018-03-14 00:00:00.000000000,1520956800000000000,38.72,40.29,38.72,38.91,4485400,0,0
2018-03-15 00:00:00.000000000,1521043200000000000,38.65,39.51,35.6,37.26,6130600,0,0
2018-03-16 00:00:00.000000000,1521129600000000000,37.71,38.33,36.28,36.53,3972300,0,0
2018-03-19 00:00:00.000000000,1521388800000000000,36.32,38.3,36.32,37.4,4269100,0,0
2018-03-20 00:00:00.000000000,1521475200000000000,37.26,38.11,37.01,37.88,2987000,0,0
2018-03-21 00:00:00.000000000,1521561600000000000,37.97,38.56,37.08,37.23,3722600,0,0
2018-03-22 00:00:00.000000000,1521648000000000000,37.0,39.29,37.0,39.06,4308400,0,0
2018-03-23 00:00:00.000000000,1521734400000000000,37.8,41.8,37.2,40.05,11922100,0,0
2018-03-26 00:00:00.000000000,1521993600000000000,40.75,42.94,40.75,42.43,13037200,0,0
2018-03-27 00:00:00.000000000,1522080000000000000,41.18,43.92,40.42,43.33,12378200,0,0
2018-03-28 00:00:00.000000000,1522166400000000000,41.88,42.43,39.89,39.94,8750500,0,0
2018-03-29 00:00:00.000000000,1522252800000000000,40.34,40.52,38.25,39.31,5501000,0,0
2018-03-30 00:00:00.000000000,1522339200000000000,39.73,41.17,39.5,41.01,7037700,0,0
2018-04-02 00:00:00.000000000,1522598400000000000,41.2,41.74,40.0,40.48,9055900,0,0
2018-04-03 00:00:00.000000000,1522684800000000000,39.1,39.75,37.9,38.84,6952100,0,0
2018-04-04 00:00:00.000000000,1522771200000000000,39.5,40.55,38.4,39.31,4831700,0,0
2018-04-09 00:00:00.000000000,1523203200000000000,39.2,39.5,37.5,38.34,3589300,0,0
2018-04-10 00:00:00.000000000,1523289600000000000,38.12,40.63,38.12,40.3,6321600,0,0
2018-04-11 00:00:00.000000000,1523376000000000000,40.8,40.8,39.36,39.57,3876600,0,0
2018-04-12 00:00:00.000000000,1523462400000000000,39.7,40.76,39.45,40.04,3801800,0,0
2018-04-13 00:00:00.000000000,1523548800000000000,40.4,40.4,39.0,39.6,3137100,0,0
2018-04-16 00:00:00.000000000,1523808000000000000,39.0,39.76,38.46,39.11,2528500,0,0
2018-04-17 00:00:00.000000000,1523894400000000000,39.91,40.88,38.6,39.65,4462800,0,0
2018-04-18 00:00:00.000000000,1523980800000000000,40.52,43.28,39.9,42.37,11163300,0,0
2018-04-19 00:00:00.000000000,1524067200000000000,41.08,42.33,40.51,40.53,7368700,0,0
2018-04-20 00:00:00.000000000,1524153600000000000,40.0,41.44,39.45,40.02,5358600,0,0
2018-04-23 00:00:00.000000000,1524412800000000000,39.98,39.98,36.02,36.89,6409700,0,0
2018-04-24 00:00:00.000000000,1524499200000000000,36.99,37.96,35.2,37.89,4766400,0,0
2018-04-25 00:00:00.000000000,1524585600000000000,37.2,39.78,37.0,39.17,4831800,0,0
2018-04-26 00:00:00.000000000,1524672000000000000,38.56,40.3,38.56,38.89,5026200,0,0
2018-04-27 00:00:00.000000000,1524758400000000000,38.96,39.97,37.34,37.49,3500800,0,0
2018-05-02 00:00:00.000000000,1525190400000000000,38.09,38.9,38.0,38.12,2832700,0,0
2018-05-03 00:00:00.000000000,1525276800000000000,37.68,38.75,36.0,37.6,3532900,0,0
2018-05-04 00:00:00.000000000,1525363200000000000,37.0,41.02,37.0,38.7,6521200,0,0
2018-05-07 00:00:00.000000000,1525622400000000000,37.17,38.93,37.17,38.77,4715800,0,0
2018-05-08 00:00:00.000000000,1525708800000000000,38.66,38.98,37.51,37.95,4625300,0,0
2018-05-09 00:00:00.000000000,1525795200000000000,38.02,38.47,37.31,37.39,3633400,0,0
2018-05-10 00:00:00.000000000,1525881600000000000,37.3,37.56,37.11,37.39,3202600,0,0
2018-05-11 00:00:00.000000000,1525968000000000000,37.39,37.59,36.53,36.84,2527900,0,0
2018-05-14 00:00:00.000000000,1526227200000000000,37.08,37.81,36.52,37.7,4074900,0,0
2018-05-15 00:00:00.000000000,1526313600000000000,37.7,37.7,37.7,37.7,0,0,0
2018-05-16 00:00:00.000000000,1526400000000000000,37.7,37.7,37.7,37.7,0,0,0
2018-05-17 00:00:00.000000000,1526486400000000000,37.7,37.7,37.7,37.7,0,0,0
2018-05-18 00:00:00.000000000,1526572800000000000,37.7,37.7,37.7,37.7,0,0,0
2018-05-21 00:00:00.000000000,1526832000000000000,37.7,37.7,37.7,37.7,0,0,0
2018-05-22 00:00:00.000000000,1526918400000000000,37.7,37.7,37.7,37.7,0,0,0
2018-05-23 00:00:00.000000000,1527004800000000000,37.7,37.7,37.7,37.7,0,0,0
2018-05-24 00:00:00.000000000,1527091200000000000,37.7,37.7,37.7,37.7,0,0,0
2018-05-25 00:00:00.000000000,1527177600000000000,37.7,37.7,37.7,37.7,0,0,0
2018-05-28 00:00:00.000000000,1527436800000000000,37.7,37.7,37.7,37.7,0,0,0
2018-05-29 00:00:00.000000000,1527523200000000000,37.7,37.7,37.7,37.7,0,0,0
2018-05-30 00:00:00.000000000,1527609600000000000,37.7,37.7,37.7,37.7,0,0,0
2018-05-31 00:00:00.000000000,1527696000000000000,37.7,37.7,37.7,37.7,0,0,0
2018-06-01 00:00:00.000000000,1527782400000000000,37.7,37.7,37.7,37.7,0,0,0
2018-06-04 00:00:00.000000000,1528041600000000000,37.7,37.7,37.7,37.7,0,0,0
2018-06-05 00:00:00.000000000,1528128000000000000,37.7,37.7,37.7,37.7,0,0,0
2018-06-06 00:00:00.000000000,1528214400000000000,37.7,37.7,37.7,37.7,0,0,0
2018-06-07 00:00:00.000000000,1528300800000000000,37.7,37.7,37.7,37.7,0,0,0
2018-06-08 00:00:00.000000000,1528387200000000000,37.7,37.7,37.7,37.7,0,0,0
