datetime,datetime_nano,SZSE.300122.open,SZSE.300122.high,SZSE.300122.low,SZSE.300122.close,SZSE.300122.volume,SZSE.300122.open_oi,SZSE.300122.close_oi
2018-01-02 00:00:00.000000000,1514822400000000000,28.19,28.84,28.17,28.69,4461900,0,0
2018-01-03 00:00:00.000000000,1514908800000000000,28.74,29.88,28.61,29.38,8823700,0,0
2018-01-04 00:00:00.000000000,1514995200000000000,29.53,29.71,29.34,29.63,6022900,0,0
2018-01-05 00:00:00.000000000,1515081600000000000,29.88,30.23,29.69,30.04,6959100,0,0
2018-01-08 00:00:00.000000000,1515340800000000000,29.78,30.28,29.62,29.93,7229400,0,0
2018-01-09 00:00:00.000000000,1515427200000000000,29.93,32.92,29.67,32.56,17559200,0,0
2018-01-10 00:00:00.000000000,1515513600000000000,32.48,34.13,32.32,33.85,16285500,0,0
2018-01-11 00:00:00.000000000,1515600000000000000,33.53,34.97,33.11,33.6,10119900,0,0
2018-01-12 00:00:00.000000000,1515686400000000000,33.92,34.85,33.31,33.9,7956800,0,0
2018-01-15 00:00:00.000000000,1515945600000000000,33.6,34.27,32.7,33.15,8841800,0,0
2018-01-16 00:00:00.000000000,1516032000000000000,33.54,34.91,33.48,33.8,8826500,0,0
2018-01-17 00:00:00.000000000,1516118400000000000,34.08,34.95,33.16,34.18,9235700,0,0
2018-01-18 00:00:00.000000000,1516204800000000000,34.28,34.89,32.93,33.25,8254900,0,0
2018-01-19 00:00:00.000000000,1516291200000000000,33.56,34.1,32.65,33.8,7392100,0,0
2018-01-22 00:00:00.000000000,1516550400000000000,34.08,34.1,32.78,32.95,7598100,0,0
2018-01-23 00:00:00.000000000,1516636800000000000,33.57,34.6,33.46,33.63,9376900,0,0
2018-01-24 00:00:00.000000000,1516723200000000000,33.87,33.99,32.38,33.0,12428700,0,0
2018-01-25 00:00:00.000000000,1516809600000000000,33.25,33.32,31.88,31.88,11277700,0,0
2018-01-26 00:00:00.000000000,1516896000000000000,31.66,33.8,31.66,33.45,13059500,0,0
2018-01-29 00:00:00.000000000,1517155200000000000,30.8,31.5,30.11,30.11,16247400,0,0
2018-01-30 00:00:00.000000000,1517241600000000000,28.37,29.79,28.37,29.21,14076300,0,0
2018-01-31 00:00:00.000000000,1517328000000000000,28.99,29.65,27.51,27.8,11851700,0,0
2018-02-01 00:00:00.000000000,1517414400000000000,27.86,29.6,27.86,28.37,11523900,0,0
2018-02-02 00:00:00.000000000,1517500800000000000,28.67,29.08,27.92,28.52,7720200,0,0
2018-02-05 00:00:00.000000000,1517760000000000000,27.95,28.46,25.67,25.67,16822600,0,0
2018-02-06 00:00:00.000000000,1517846400000000000,25.08,25.46,23.9,23.96,13222700,0,0
2018-02-07 00:00:00.000000000,1517932800000000000,24.97,25.8,24.32,24.88,12457500,0,0
2018-02-08 00:00:00.000000000,1518019200000000000,24.87,25.71,24.64,24.84,8349400,0,0
2018-02-09 00:00:00.000000000,1518105600000000000,24.5,25.67,23.92,25.41,11144800,0,0
2018-02-12 00:00:00.000000000,1518364800000000000,25.6,26.28,25.1,25.93,8080600,0,0
2018-02-13 00:00:00.000000000,1518451200000000000,25.93,26.96,25.86,26.34,7825100,0,0
2018-02-14 00:00:00.000000000,1518537600000000000,26.68,26.7,25.7,26.48,4442300,0,0
2018-02-22 00:00:00.000000000,1519228800000000000,26.95,27.82,26.61,27.81,5128700,0,0
2018-02-23 00:00:00.000000000,1519315200000000000,27.85,27.9,27.35,27.78,3607400,0,0
2018-02-26 00:00:00.000000000,1519574400000000000,28.0,29.65,27.51,29.36,7895400,0,0
