datetime,datetime_nano,SZSE.300015.open,SZSE.300015.high,SZSE.300015.low,SZSE.300015.close,SZSE.300015.volume,SZSE.300015.open_oi,SZSE.300015.close_oi
2018-01-02 00:00:00.000000000,1514822400000000000,31.0,31.24,30.3,30.42,7607700,0,0
2018-01-03 00:00:00.000000000,1514908800000000000,30.4,30.45,29.24,30.25,10099100,0,0
2018-01-04 00:00:00.000000000,1514995200000000000,30.51,30.51,29.54,29.67,12372500,0,0
2018-01-05 00:00:00.000000000,1515081600000000000,30.65,32.33,30.41,31.5,21289300,0,0
2018-01-08 00:00:00.000000000,1515340800000000000,31.68,33.7,31.67,33.63,15921200,0,0
2018-01-09 00:00:00.000000000,1515427200000000000,33.62,34.2,33.03,33.4,11149700,0,0
2018-01-10 00:00:00.000000000,1515513600000000000,33.74,34.92,33.61,33.9,11446800,0,0
2018-01-11 00:00:00.000000000,1515600000000000000,33.77,34.99,33.37,33.89,9707300,0,0
2018-01-12 00:00:00.000000000,1515686400000000000,33.8,34.27,33.4,34.11,6067000,0,0
2018-01-15 00:00:00.000000000,1515945600000000000,33.63,34.6,32.9,33.45,10315200,0,0
2018-01-16 00:00:00.000000000,1516032000000000000,33.55,35.95,33.55,35.45,12435700,0,0
2018-01-17 00:00:00.000000000,1516118400000000000,35.63,36.28,34.54,35.26,11395300,0,0
2018-01-18 00:00:00.000000000,1516204800000000000,35.0,36.22,35.0,35.97,11933300,0,0
2018-01-19 00:00:00.000000000,1516291200000000000,35.5,35.69,34.98,35.1,7423500,0,0
2018-01-22 00:00:00.000000000,1516550400000000000,35.3,35.46,34.7,35.0,6753800,0,0
2018-01-23 00:00:00.000000000,1516636800000000000,35.0,35.59,34.9,35.59,7162200,0,0
2018-01-24 00:00:00.000000000,1516723200000000000,35.58,36.84,35.05,36.33,12245100,0,0
2018-01-25 00:00:00.000000000,1516809600000000000,36.4,36.74,35.61,35.79,6572000,0,0
2018-01-26 00:00:00.000000000,1516896000000000000,35.5,36.14,35.02,35.3,7147200,0,0
2018-01-29 00:00:00.000000000,1517155200000000000,34.96,35.61,34.5,34.9,8726500,0,0
2018-01-30 00:00:00.000000000,1517241600000000000,34.9,35.08,34.51,34.77,4616300,0,0
2018-01-31 00:00:00.000000000,1517328000000000000,34.77,35.51,34.57,34.98,7140100,0,0
2018-02-01 00:00:00.000000000,1517414400000000000,35.02,36.04,34.5,34.6,8523900,0,0
2018-02-02 00:00:00.000000000,1517500800000000000,34.4,34.86,33.32,34.51,6047300,0,0
2018-02-05 00:00:00.000000000,1517760000000000000,33.76,34.39,33.5,33.6,7393200,0,0
2018-02-06 00:00:00.000000000,1517846400000000000,32.5,33.25,31.3,31.5,15682800,0,0
2018-02-07 00:00:00.000000000,1517932800000000000,32.38,33.38,31.82,32.6,14781300,0,0
2018-02-08 00:00:00.000000000,1518019200000000000,32.4,33.3,31.95,32.5,8624400,0,0
2018-02-09 00:00:00.000000000,1518105600000000000,31.49,32.07,30.75,31.47,9923700,0,0
2018-02-12 00:00:00.000000000,1518364800000000000,31.68,34.48,31.68,33.69,14959800,0,0
2018-02-13 00:00:00.000000000,1518451200000000000,33.99,34.7,33.68,33.75,10027800,0,0
2018-02-14 00:00:00.000000000,1518537600000000000,33.75,35.28,33.65,35.1,7953600,0,0
2018-02-22 00:00:00.000000000,1519228800000000000,35.37,35.61,34.65,35.61,8217000,0,0
2018-02-23 00:00:00.000000000,1519315200000000000,35.3,35.78,34.72,35.06,7145700,0,0
2018-02-26 00:00:00.000000000,1519574400000000000,35.06,37.16,35.06,37.16,10690000,0,0
2018-02-27 00:00:00.000000000,1519660800000000000,37.01,37.48,36.3,36.61,8613200,0,0
2018-02-28 00:00:00.000000000,1519747200000000000,36.42,37.09,36.17,36.3,6544700,0,0
2018-03-01 00:00:00.000000000,1519833600000000000,36.2,37.48,36.08,37.13,7909900,0,0
2018-03-02 00:00:00.000000000,1519920000000000000,36.99,37.4,36.63,36.81,4994400,0,0
2018-03-05 00:00:00.000000000,1520179200000000000,37.0,37.39,36.42,37.24,5603100,0,0
2018-03-06 00:00:00.000000000,1520265600000000000,37.16,38.5,37.16,38.28,8682500,0,0
2018-03-07 00:00:00.000000000,1520352000000000000,38.28,38.65,37.95,38.35,5721100,0,0
2018-03-08 00:00:00.000000000,1520438400000000000,38.16,40.2,38.1,40.08,9763100,0,0
2018-03-09 00:00:00.000000000,1520524800000000000,39.95,40.34,39.21,39.9,7974200,0,0
2018-03-12 00:00:00.000000000,1520784000000000000,39.9,40.77,39.38,39.87,8838400,0,0
2018-03-13 00:00:00.000000000,1520870400000000000,39.7,39.78,38.31,38.88,10077200,0,0
2018-03-14 00:00:00.000000000,1520956800000000000,38.8,39.44,38.54,38.84,5873400,0,0
2018-03-15 00:00:00.000000000,1521043200000000000,38.49,39.19,38.4,38.87,4984900,0,0
2018-03-16 00:00:00.000000000,1521129600000000000,38.88,39.9,38.8,39.56,7949600,0,0
2018-03-19 00:00:00.000000000,1521388800000000000,39.5,40.64,38.44,40.26,8595000,0,0
2018-03-20 00:00:00.000000000,1521475200000000000,39.82,41.66,39.8,41.59,10106600,0,0
2018-03-21 00:00:00.000000000,1521561600000000000,41.35,42.37,40.87,41.17,9297900,0,0
2018-03-22 00:00:00.000000000,1521648000000000000,41.15,41.7,40.83,41.17,5444200,0,0
2018-03-23 00:00:00.000000000,1521734400000000000,39.5,41.38,39.0,40.09,13056700,0,0
2018-03-26 00:00:00.000000000,1521993600000000000,39.4,42.22,39.4,42.16,9797500,0,0
2018-03-27 00:00:00.000000000,1522080000000000000,42.22,44.12,42.22,43.2,12850800,0,0
2018-03-28 00:00:00.000000000,1522166400000000000,42.77,43.66,41.84,41.87,8131100,0,0
2018-03-29 00:00:00.000000000,1522252800000000000,42.0,42.34,38.02,40.01,14281900,0,0
2018-03-30 00:00:00.000000000,1522339200000000000,39.75,41.66,39.66,41.18,10428900,0,0
2018-04-02 00:00:00.000000000,1522598400000000000,40.98,41.57,40.1,40.35,8942600,0,0
2018-04-03 00:00:00.000000000,1522684800000000000,40.0,40.88,39.62,40.28,8980300,0,0
2018-04-04 00:00:00.000000000,1522771200000000000,40.75,40.95,38.9,38.9,9828300,0,0
2018-04-09 00:00:00.000000000,1523203200000000000,39.61,41.0,39.23,40.98,11995600,0,0
2018-04-10 00:00:00.000000000,1523289600000000000,41.48,42.5,40.54,42.38,9655300,0,0
2018-04-11 00:00:00.000000000,1523376000000000000,42.2,42.89,42.08,42.37,5574000,0,0
2018-04-12 00:00:00.000000000,1523462400000000000,42.11,43.61,41.63,42.8,5973900,0,0
2018-04-13 00:00:00.000000000,1523548800000000000,42.91,43.45,41.6,42.27,5909500,0,0
2018-04-16 00:00:00.000000000,1523808000000000000,42.11,42.9,41.63,42.15,5521100,0,0
2018-04-17 00:00:00.000000000,1523894400000000000,42.14,42.38,40.62,40.68,5597200,0,0
2018-04-18 00:00:00.000000000,1523980800000000000,40.72,41.1,39.5,40.8,8457700,0,0
2018-04-19 00:00:00.000000000,1524067200000000000,41.08,42.4,40.65,41.95,6870500,0,0
2018-04-20 00:00:00.000000000,1524153600000000000,41.95,43.59,41.69,42.6,8208200,0,0
2018-04-23 00:00:00.000000000,1524412800000000000,42.72,44.15,42.72,42.95,9497700,0,0
2018-04-24 00:00:00.000000000,1524499200000000000,42.82,43.86,42.28,43.38,6951800,0,0
