股票代码,盈亏,开仓日期,开仓时间,平仓日期,平仓时间,开仓价格,平仓价格,价差,数量,资金占用,收益（含手续费）,手续费,10500000,
SZSE.300122,平多收益,2020-11-26,0:00:00,2020-11-30,0:00:00,118.43,124.91,6.48,25,296075,16200,412.2,11714631,
SZSE.300122,平多收益,2021-1-5,0:00:00,2021-1-6,0:00:00,139.78,151.1,11.32,21,293538,23772,418.85,11738403,
SZSE.300122,平多收益,2021-1-19,0:00:00,2021-1-20,0:00:00,132.3,142.1,9.8,22,291060,21560,412.66,11759963,
SZSE.300059,平多收益,2020-12-16,0:00:00,2020-12-21,0:00:00,26.15,27.59,1.44,114,298110,16416,415.17,11776379,
SZSE.002812,平多收益,2021-1-11,0:00:00,2021-1-25,0:00:00,136.8,142.9,6.1,21,287280,12810,396.12,11789189,
SZSE.002475,平多收益,2020-11-26,0:00:00,2020-12-7,0:00:00,50.18,52.77,2.59,59,296062,15281,410.97,11804470,
SZSE.002475,平多止损,2021-1-26,0:00:00,2021-1-26,0:00:00,52.78,52.78,0,56,295568,0,390.15,11804470,
SZSE.000917,平多止损,2021-1-6,0:00:00,2021-1-20,0:00:00,4.61,4.45,-0.16,650,299650,-10400,381.81,11794070,
SZSE.000858,平多收益,2021-1-15,0:00:00,2021-1-25,0:00:00,287.7,315.69,27.99,10,287700,27990,416.71,11822060,
SZSE.000725,平多收益,2020-12-11,0:00:00,2020-12-21,0:00:00,5.08,5.4,0.32,590,299720,18880,420.55,11840940,
SZSE.000568,平多收益,2021-1-19,0:00:00,2021-1-25,0:00:00,229.87,263,33.13,13,298831,43069,451.31,11884009,
SSE.601939,平多止损,2020-12-11,0:00:00,2020-12-25,0:00:00,6.49,6.27,-0.22,462,299838,-10164,382.37,11873845,
SSE.601919,平多收益,2020-12-7,0:00:00,2020-12-17,0:00:00,9.43,10.12,0.69,318,299874,21942,424.8,11895787,
SSE.601919,平多收益,2021-1-19,0:00:00,2021-1-22,0:00:00,14.08,15.4,1.32,213,299904,28116,432.99,11923903,
SSE.601919,平多止损,2021-1-26,0:00:00,2021-1-26,0:00:00,14.1,14.1,0,212,298920,0,394.57,11923903,
SSE.601888,平多收益,2021-1-18,0:00:00,2021-1-25,0:00:00,274.2,308,33.8,10,274200,33800,406.56,11957703,
SSE.601088,平多收益,2020-12-14,0:00:00,2020-12-18,0:00:00,17.45,19.07,1.62,171,298395,27702,430.45,11985405,
SSE.600887,平多收益,2021-1-19,0:00:00,2021-1-25,0:00:00,46.14,48.83,2.69,65,299910,17485,418.96,12002890,
SZSE.300122,平多收益,2021-2-23,0:00:00,2021-3-1,0:00:00,173.5,186.01,12.51,17,294950,21267,417.41,12024157,
SZSE.300122,平多收益,2021-3-4,0:00:00,2021-3-18,0:00:00,171.9,175.8,3.9,17,292230,6630,394.5,12030787,
SZSE.300059,平多收益,2021-1-29,0:00:00,2021-2-9,0:00:00,35.2,38.16,2.96,85,299200,25160,428.16,12055947,
SZSE.300059,平多止损,2021-2-22,0:00:00,2021-3-8,0:00:00,33.63,28.81,-4.82,89,299307,-42898,338.46,12013049,
SZSE.300059,平多止损,2021-3-9,0:00:00,2021-3-23,0:00:00,27.53,27.15,-0.38,108,297324,-4104,387.05,12008945,
SZSE.002812,平多止损,2021-2-19,0:00:00,2021-3-5,0:00:00,123.16,108.12,-15.04,24,295584,-36096,342.52,11972849,
SZSE.002812,平多收益,2021-3-24,0:00:00,2021-3-26,0:00:00,107.6,114.31,6.71,27,290520,18117,407.4,11990966,
SZSE.002594,平多止损,2021-2-23,0:00:00,2021-3-9,0:00:00,225,170.68,-54.32,13,292500,-70616,292.89,11920350,
SZSE.002594,平多止损,2021-3-10,0:00:00,2021-3-24,0:00:00,177.19,162.74,-14.45,16,283504,-23120,343.71,11897230,
SZSE.002594,平多收益,2021-3-25,0:00:00,2021-3-26,0:00:00,161.2,170.99,9.79,18,290160,17622,406.27,11914852,
SZSE.002475,平多收益,2021-1-28,0:00:00,2021-1-29,0:00:00,50.35,53.1,2.75,59,297065,16225,413.54,11931077,
SZSE.002475,平多收益,2021-2-4,0:00:00,2021-2-10,0:00:00,49,52.78,3.78,61,298900,23058,424.98,11954135,
SZSE.002475,平多止损,2021-2-24,0:00:00,2021-3-10,0:00:00,47.6,43.43,-4.17,63,299880,-26271,361.16,11927864,
SZSE.002475,平多止损,2021-3-11,0:00:00,2021-3-25,0:00:00,42.15,32.89,-9.26,71,299265,-65746,308.25,11862118,
SZSE.002475,平多收益,2021-3-29,0:00:00,2021-4-2,0:00:00,33.75,35.73,1.98,88,297000,17424,415.04,11879542,
SZSE.002352,平多止损,2021-2-24,0:00:00,2021-3-10,0:00:00,103.81,91.91,-11.9,28,290668,-33320,339.7,11846222,
SZSE.002352,平多止损,2021-3-15,0:00:00,2021-3-29,0:00:00,89.46,82.08,-7.38,33,295218,-24354,357.54,11821868,
SZSE.002352,平多收益,2021-3-31,0:00:00,2021-4-6,0:00:00,81.02,82.29,1.27,37,299774,4699,401.9,11826567,
SZSE.002027,平多止损,2021-2-23,0:00:00,2021-3-9,0:00:00,11.2,10.1,-1.1,267,299040,-29370,355.96,11797197,
SZSE.002027,平多收益,2021-3-11,0:00:00,2021-3-17,0:00:00,9.85,10.37,0.52,304,299440,15808,416.13,11813005,
SZSE.002027,平多收益,2021-3-31,0:00:00,2021-4-6,0:00:00,9.28,9.3,0.02,323,299744,646,396.51,11813651,
SZSE.000917,平多收益,2021-2-3,0:00:00,2021-2-18,0:00:00,4.04,4.29,0.25,742,299768,18550,420.18,11832201,
SZSE.000858,平多止损,2021-2-24,0:00:00,2021-3-10,0:00:00,293.08,252.6,-40.48,10,293080,-40480,333.43,11791721,
SZSE.000776,平多收益,2021-2-5,0:00:00,2021-2-19,0:00:00,15.39,16.85,1.46,194,298566,28324,431.49,11820045,
SZSE.000725,平多收益,2021-1-29,0:00:00,2021-2-19,0:00:00,6.18,6.27,0.09,485,299730,4365,401.41,11824410,
SZSE.000568,平多止损,2021-2-24,0:00:00,2021-3-10,0:00:00,247.01,195.89,-51.12,12,296412,-61344,310.29,11763066,
SZSE.000568,平多收益,2021-3-15,0:00:00,2021-3-17,0:00:00,196,210.05,14.05,15,294000,21075,415.9,11784141,
SZSE.000002,平多收益,2021-1-29,0:00:00,2021-2-18,0:00:00,27.79,30.01,2.22,107,297353,23754,423.86,11807895,
SZSE.000001,平多止损,2021-2-23,0:00:00,2021-3-9,0:00:00,21.93,20.85,-1.08,136,298248,-14688,374.3,11793207,
SZSE.000001,平多收益,2021-3-10,0:00:00,2021-3-12,0:00:00,20.4,21.48,1.08,147,299880,15876,416.8,11809083,
SSE.603288,平多止损,2021-2-22,0:00:00,2021-3-8,0:00:00,183.03,158.55,-24.48,16,292848,-39168,334.86,11769915,
SSE.603288,平多止损,2021-3-9,0:00:00,2021-3-23,0:00:00,153.67,148.5,-5.17,19,291973,-9823,372.44,11760092,
SSE.601919,平多止损,2021-1-28,0:00:00,2021-2-18,0:00:00,13.03,11.9,-1.13,230,299690,-25990,361.28,11734102,
SSE.601919,平多收益,2021-3-4,0:00:00,2021-3-16,0:00:00,10.8,11.41,0.61,277,299160,16897,417.2,11750999,
SSE.601888,平多止损,2021-2-24,0:00:00,2021-3-10,0:00:00,314.63,299.62,-15.01,9,283167,-13509,355.95,11737490,
SSE.601318,平多收益,2021-2-3,0:00:00,2021-2-18,0:00:00,76.54,82.38,5.84,39,298506,22776,424.09,11760266,
SSE.601166,平多止损,2021-3-8,0:00:00,2021-3-22,0:00:00,23.77,23.63,-0.14,126,299502,-1764,393.01,11758502,
